Wavelength (nm)	62231 Avg	avg std	62231 scaled avg	sc avg std
510.00	0.13271	0.0053244	0.74904	0.0041627
515.00	0.13420	0.0051101	0.75752	0.0028432
520.00	0.13523	0.0053271	0.76331	0.0038992
525.00	0.13636	0.0052907	0.76968	0.0034749
530.00	0.13739	0.0051997	0.77553	0.0025367
535.00	0.13869	0.0053221	0.78284	0.0032734
540.00	0.13970	0.0053140	0.78853	0.0028739
545.00	0.14084	0.0054998	0.79498	0.0031258
550.00	0.14196	0.0054250	0.80129	0.0027533
555.00	0.14295	0.0054506	0.80688	0.0024936
560.00	0.14404	0.0054398	0.81304	0.0023253
565.00	0.14509	0.0054832	0.81896	0.0022721
570.00	0.14614	0.0054438	0.82488	0.0021020
575.00	0.14713	0.0055782	0.83051	0.0027533
580.00	0.14815	0.0055754	0.83626	0.0023869
585.00	0.14912	0.0055201	0.84174	0.0018314
590.00	0.15017	0.0055386	0.84763	0.0019367
595.00	0.15106	0.0056516	0.85268	0.0023384
600.00	0.15204	0.0055084	0.85822	0.0020906
605.00	0.15314	0.0055348	0.86444	0.0021204
610.00	0.15401	0.0055505	0.86934	0.0017935
615.00	0.15504	0.0056028	0.87517	0.0018835
620.00	0.15616	0.0056824	0.88151	0.0018620
625.00	0.15715	0.0057526	0.88706	0.0019674
630.00	0.15812	0.0057261	0.89257	0.0021372
635.00	0.15897	0.0057782	0.89736	0.0018006
640.00	0.15981	0.0058283	0.90211	0.0016244
645.00	0.16092	0.0059389	0.90834	0.0019058
650.00	0.16168	0.0058669	0.91267	0.0014519
655.00	0.16266	0.0056845	0.91820	0.0014070
660.00	0.16350	0.0058196	0.92291	0.0020986
665.00	0.16449	0.0058706	0.92853	0.0014522
670.00	0.16513	0.0058268	0.93214	0.0012532
675.00	0.16601	0.0058638	0.93710	0.0014863
680.00	0.16674	0.0057402	0.94123	0.0021011
685.00	0.16764	0.0058068	0.94633	0.0017287
690.00	0.16840	0.0056941	0.95064	0.0020246
695.00	0.16922	0.0057870	0.95528	0.0020211
700.00	0.17002	0.0058860	0.95978	0.0019209
705.00	0.17085	0.0058582	0.96446	0.0021608
710.00	0.17149	0.0057297	0.96808	0.0025649
715.00	0.17213	0.0057658	0.97173	0.0021227
720.00	0.17262	0.0059291	0.97443	0.0031843
725.00	0.17343	0.0059224	0.97903	0.0025735
730.00	0.17424	0.0060902	0.98357	0.0014949
735.00	0.17486	0.0059035	0.98709	0.0020764
740.00	0.17568	0.0059933	0.99174	0.0015996
745.00	0.17649	0.0061535	0.99626	0.0012061
750.00	0.17715	0.0063137	0.99999	2.4905e-05
755.00	0.17794	0.0061210	1.0045	0.0019889
760.00	0.17846	0.0059853	1.0074	0.0021118
765.00	0.17886	0.0061720	1.0097	0.0022967
770.00	0.17929	0.0062265	1.0121	0.0026818
775.00	0.17974	0.0063686	1.0146	0.0011657
780.00	0.18032	0.0061811	1.0179	0.0025595
785.00	0.18089	0.0061694	1.0211	0.0021964
790.00	0.18134	0.0061236	1.0237	0.0022856
795.00	0.18204	0.0063767	1.0276	0.0016264
800.00	0.18270	0.0062567	1.0313	0.0014804
805.00	0.18307	0.0064341	1.0334	0.0015489
810.00	0.18357	0.0065194	1.0362	0.0014569
815.00	0.18424	0.0064456	1.0400	0.0014806
820.00	0.18457	0.0065841	1.0419	0.0013918
825.00	0.18506	0.0064494	1.0447	0.0014756
830.00	0.18566	0.0064378	1.0481	0.0013917
835.00	0.18587	0.0064544	1.0493	0.0010277
840.00	0.18627	0.0065020	1.0515	0.0011147
845.00	0.18648	0.0067323	1.0527	0.0014780
850.00	0.18675	0.0069222	1.0542	0.0034356
855.00	0.18704	0.0066843	1.0558	0.0053369
860.00	0.18714	0.0067708	1.0564	0.0036993
865.00	0.18746	0.0066145	1.0582	0.0058214
870.00	0.18767	0.0069670	1.0594	0.0076067
875.00	0.18823	0.0071189	1.0625	0.0045831
880.00	0.18831	0.0068421	1.0630	0.0048787
885.00	0.18882	0.0068830	1.0659	0.0054468
890.00	0.18894	0.0071959	1.0665	0.0064965
895.00	0.18888	0.0069873	1.0662	0.0057932
900.00	0.18938	0.0070728	1.0690	0.0048798
905.00	0.18973	0.0067810	1.0710	0.0047762
910.00	0.18996	0.0068900	1.0723	0.0042273
915.00	0.19052	0.0067231	1.0755	0.0041933
920.00	0.19110	0.0067423	1.0787	0.0030966
925.00	0.19151	0.0067675	1.0811	0.0022617
930.00	0.19188	0.0068235	1.0831	0.0010753
935.00	0.19226	0.0068082	1.0853	0.0022738
940.00	0.19280	0.0070131	1.0883	0.0026913
945.00	0.19330	0.0066300	1.0912	0.0022171
950.00	0.19390	0.0066267	1.0946	0.0024437
955.00	0.19438	0.0065734	1.0973	0.0030829
960.00	0.19500	0.0065284	1.1008	0.0037857
965.00	0.19561	0.0067326	1.1042	0.0017011
970.00	0.19620	0.0065994	1.1076	0.0026168
975.00	0.19685	0.0066245	1.1113	0.0023318
980.00	0.19748	0.0066963	1.1148	0.0023995
985.00	0.19814	0.0067355	1.1185	0.0030889
990.00	0.19883	0.0066946	1.1224	0.0031918
995.00	0.19955	0.0066880	1.1265	0.0023240
1000.0	0.20017	0.0069398	1.1300	0.0024427
1005.0	0.20097	0.0069213	1.1345	0.0023343
1010.0	0.20186	0.0070366	1.1395	0.0022985
1015.0	0.20264	0.0068504	1.1439	0.0023660
1020.0	0.20322	0.0070739	1.1471	0.0022041
1025.0	0.20406	0.0068986	1.1520	0.0028763
1030.0	0.20475	0.0068919	1.1559	0.0036075
1035.0	0.20547	0.0069964	1.1599	0.0020600
1040.0	0.20624	0.0070331	1.1642	0.0029327
1045.0	0.20705	0.0070946	1.1688	0.0022837
